URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,125,108,0.072961373077419,0.948008424781307,1129,0.5181576616474757,1.6604547653604258,1129,585,1129,2211,1,5.9433126660761735
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,134,95,0.1703056761122023,0.8348272354498681,778,0.5539845758354756,1.228548671953458,778,431,778,1328,3,5.240359897172237
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,100,111,-0.052132701174726535,0.9732268975929682,987,0.5045592705167173,1.3488940837978782,987,498,987,1898,2,5.7821681864235055
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,128,90,0.1743119258059086,0.7910027292526595,888,0.5641891891891891,1.0776526946107785,888,501,888,1581,3,5.35472972972973
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,143,90,0.22746781018254159,0.7914690089360836,992,0.5292338709677419,1.3054891774891777,992,525,992,1811,6,5.535282258064516
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,93,93,0.0,0.8157894665281626,680,0.538235294117647,1.882695810564663,680,366,680,1211,3,5.536764705882353
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,49,45,0.04255319103666818,0.3951101122449698,406,0.5467980295566502,2.084864864864865,406,222,406,752,2,5.524630541871921
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,59,52,0.06306306249492737,0.4566935316298368,400,0.565,2.7830332621299974,400,226,400,671,0,5.2825
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,183,135,0.15094339575175034,1.1855345807913786,1203,0.5486284289276808,1.2222994652406418,1203,660,1203,2215,1,5.442227763923524
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,130,129,0.00386100384609651,1.1316128058967831,1093,0.5397987191216834,0.9709877264757453,1093,590,1093,2018,1,5.635864592863678
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,81,76,0.0318471335551138,0.666946021636922,686,0.5043731778425656,2.2602312138728324,686,346,686,1338,3,5.87463556851312
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,100,115,-0.06976744153596538,1.0081599258798606,749,0.5607476635514018,1.2706250000000001,749,420,749,1307,2,5.275033377837116
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,115,100,0.06976744153596538,0.8778049698572894,837,0.5448028673835126,2.6999999999999997,837,456,837,1506,8,5.480286738351254
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,103,87,0.08421052587257619,0.7638965768594386,884,0.501131221719457,1.7498871331828445,884,443,884,1665,1,5.578054298642534
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,44,39,0.06024096312962695,0.3426336896534732,307,0.5276872964169381,5.08322440087146,307,162,307,572,0,5.602605863192182
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,161,125,0.12587412543400656,1.097595377437181,979,0.5730337078651685,11.368067226890759,979,561,979,1659,2,5.220633299284985
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,51,32,0.22891565989258242,0.28270978401037544,414,0.5362318840579711,3.4015135135135135,414,222,414,824,0,5.995169082125604
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,63,39,0.23529411534025377,0.34416924360676326,411,0.49391727493917276,4.396340605207601,411,203,411,829,0,6.119221411192214
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,14,17,-0.09677419042663901,0.14827390930964432,104,0.49038461538461536,92.98823529411766,104,51,104,209,0,5.576923076923077
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,111,99,0.0571428568707483,0.8689222981398987,809,0.47713226205191595,2.275499629903775,809,386,809,1438,0,5.440049443757726
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,55,49,0.05769230713757397,0.4303306304983065,422,0.5118483412322274,3.873429951690822,422,216,422,756,2,5.298578199052133
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,116,115,0.004329004310264051,1.0088098946973716,1008,0.5634920634920635,0.9195902688860436,1008,568,1008,1816,2,5.450396825396825
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,52,33,0.22352940913494815,0.2914344659447411,380,0.5131578947368421,3.173626373626373,380,195,380,706,0,5.6078947368421055
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,38,18,0.3571428507653063,0.1610275674538398,227,0.5110132158590308,6.864190981432362,227,116,227,392,0,5.405286343612334
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,62,45,0.15887850318805138,0.39613050971103103,456,0.4824561403508772,5.250909090909091,456,220,456,808,0,5.368421052631579
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,27,25,0.03846153772189351,0.21963562559724797,277,0.5018050541516246,6.990149418926397,277,139,277,560,0,5.8483754512635375
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,39,15,0.44444443621399193,0.1354775815854071,195,0.558974358974359,3.5468687674511368,195,109,195,380,0,5.923076923076923
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,8,9,-0.05882352595155729,0.0784313718913778,89,0.43820224719101125,11.562393162393162,89,39,89,184,0,6.022471910112359
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,84,53,0.22627737061111408,0.4668971658220522,439,0.6082004555808656,1.3631869254341167,439,267,439,723,4,5.143507972665148
68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,15,16,-0.032258063475546335,0.14006791049523282,99,0.5454545454545454,13.933333333333335,99,54,99,167,0,5.252525252525253
69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,65,40,0.23809523582766443,0.3529657445865081,411,0.51338199513382,4.441137440758293,411,211,411,786,0,5.902676399026764
70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,13,13,0.0,0.11403508671899047,77,0.6883116883116883,13.249811320754716,77,53,77,127,1,5.376623376623376
71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,29,28,0.017543859341335802,0.24576792643485448,182,0.5384615384615384,4.234285714285715,182,98,182,308,1,5.324175824175824
72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,124,65,0.3121693105176227,0.5729137608561742,999,0.5045045045045045,1.8077142857142858,999,504,999,1932,5,5.976976976976977
73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,167,80,0.3522267192217542,0.7048440878454182,940,0.5861702127659575,1.7287356321839078,940,551,940,1603,0,5.329787234042553
74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,105,69,0.2068965505350773,0.6070780345917285,827,0.5259975816203144,1.2384630541871922,827,435,827,1439,4,5.4667472793228535
75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,54,41,0.1368421038227147,0.3608494889734494,451,0.5011086474501109,1.7169477375187847,451,226,451,770,0,4.975609756097561
76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,119,62,0.3149171253319496,0.546622075251841,682,0.5894428152492669,1.2477611940298508,682,402,682,1192,0,5.574780058651027
77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,45,20,0.384615378698225,0.17881241403408607,232,0.603448275862069,5.397551020408163,232,140,232,396,1,5.431034482758621
78,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,125,88,0.1737089193722586,0.7734535802273569,938,0.5415778251599147,2.004724409448819,938,508,938,1747,1,5.585287846481877
79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,83,92,-0.05142857113469388,0.8065664089675342,513,0.571150097465887,1.2282908899973748,513,293,513,896,1,5.477582846003899
